"Run","teamC1","teamC1_gs","teamC1_gc","teamC1_di","teamC1_pts","teamD2","teamD2_gs","teamD2_gc","teamD2_di","teamD2_pts","teamA1","teamA1_gs","teamA1_gc","teamA1_di","teamA1_pts","teamB2","teamB2_gs","teamB2_gc","teamB2_di","teamB2_pts","teamB1","teamB1_gs","teamB1_gc","teamB1_di","teamB1_pts","teamA2","teamA2_gs","teamA2_gc","teamA2_di","teamA2_pts","teamD1","teamD1_gs","teamD1_gc","teamD1_di","teamD1_pts","teamC2","teamC2_gs","teamC2_gc","teamC2_di","teamC2_pts","teamE1","teamE1_gs","teamE1_gc","teamE1_di","teamE1_pts","teamF2","teamF2_gs","teamF2_gc","teamF2_di","teamF2_pts","teamG1","teamG1_gs","teamG1_gc","teamG1_di","teamG1_pts","teamH2","teamH2_gs","teamH2_gc","teamH2_di","teamH2_pts","teamF1","teamF1_gs","teamF1_gc","teamF1_di","teamF1_pts","teamE2","teamE2_gs","teamE2_gc","teamE2_di","teamE2_pts","teamH1","teamH1_gs","teamH1_gc","teamH1_di","teamH1_pts","teamG2","teamG2_gs","teamG2_gc","teamG2_di","teamG2_pts"
"1","France",6,3,3,9,"Croatia",4,1,3,7,"Russia",5,2,3,6,"Portugal",8,4,4,6,"Spain",6,2,4,9,"Uruguay",5,5,0,6,"Argentina",7,2,5,7,"Peru",4,4,0,4,"Brazil",9,4,5,9,"Sweden",5,4,1,4,"Belgium",6,2,4,9,"Japan",5,4,1,4,"Germany",8,4,4,7,"Switzerland",4,4,0,4,"Poland",3,6,-3,9,"England",4,3,1,6
"2","France",9,3,6,9,"Argentina",3,2,1,5,"Uruguay",5,3,2,7,"Portugal",8,3,5,6,"Spain",6,3,3,7,"Russia",5,3,2,6,"Croatia",3,1,2,7,"Australia",5,7,-2,4,"Brazil",9,4,5,7,"Mexico",3,3,0,5,"England",2,0,2,5,"Senegal",5,2,3,4,"Germany",7,2,5,7,"Switzerland",3,4,-1,4,"Colombia",5,4,1,9,"Panama",2,3,-1,4
"3","France",4,3,1,5,"Croatia",7,5,2,5,"Uruguay",6,0,6,7,"Spain",6,3,3,7,"Portugal",6,3,3,7,"Egypt",6,2,4,7,"Argentina",9,4,5,7,"Australia",2,4,-2,4,"Brazil",5,3,2,7,"Mexico",5,5,0,5,"Belgium",6,5,1,5,"Senegal",2,1,1,5,"Germany",6,3,3,5,"Serbia",6,5,1,4,"Poland",5,3,2,7,"England",4,3,1,5
"4","France",9,2,7,9,"Croatia",5,4,1,5,"Uruguay",5,0,5,9,"Spain",5,4,1,6,"Portugal",7,3,4,6,"Russia",9,2,7,6,"Argentina",7,2,5,7,"Peru",4,3,1,6,"Brazil",8,4,4,7,"Mexico",5,4,1,6,"Belgium",7,3,4,7,"Colombia",5,4,1,5,"Germany",10,5,5,7,"Costa Rica",7,6,1,6,"Poland",4,4,0,7,"England",6,5,1,6
"5","Denmark",7,2,5,9,"Nigeria",4,5,-1,4,"Russia",12,3,9,9,"Spain",3,3,0,4,"Portugal",5,3,2,5,"Uruguay",8,7,1,4,"Argentina",6,3,3,7,"France",5,2,3,6,"Brazil",6,1,5,9,"Mexico",6,7,-1,6,"England",8,2,6,7,"Colombia",5,6,-1,5,"Sweden",4,1,3,7,"Costa Rica",4,3,1,6,"Poland",4,6,-2,7,"Tunisia",3,4,-1,4
"6","Denmark",9,4,5,7,"Croatia",4,3,1,5,"Uruguay",5,3,2,6,"Iran",4,2,2,5,"Spain",4,1,3,7,"Russia",5,3,2,4,"Argentina",8,2,6,6,"France",6,4,2,6,"Switzerland",10,5,5,9,"Mexico",8,4,4,7,"Belgium",10,5,5,7,"Senegal",5,6,-1,4,"Germany",9,5,4,7,"Brazil",8,6,2,6,"Poland",4,6,-2,7,"England",6,5,1,5
"7","Peru",8,4,4,7,"Croatia",6,5,1,5,"Russia",6,1,5,9,"Portugal",7,3,4,6,"Spain",8,3,5,9,"Uruguay",5,4,1,4,"Argentina",6,5,1,5,"France",7,6,1,4,"Brazil",8,5,3,7,"Germany",6,4,2,6,"Belgium",8,2,6,7,"Colombia",8,5,3,5,"Mexico",6,3,3,7,"Switzerland",8,5,3,7,"Poland",5,7,-2,7,"Tunisia",5,4,1,6
"8","France",5,1,4,6,"Argentina",7,4,3,5,"Uruguay",9,3,6,7,"Portugal",4,6,-2,4,"Spain",6,1,5,9,"Egypt",7,4,3,5,"Croatia",6,3,3,7,"Denmark",3,4,-1,6,"Brazil",5,2,3,7,"Sweden",4,6,-2,4,"Belgium",6,3,3,6,"Senegal",3,5,-2,6,"Germany",12,2,10,9,"Switzerland",5,4,1,4,"Poland",4,4,0,7,"England",3,2,1,6
"9","France",9,3,6,9,"Argentina",5,5,0,6,"Uruguay",7,1,6,9,"Spain",4,3,1,4,"Portugal",7,4,3,7,"Russia",5,2,3,4,"Croatia",7,2,5,7,"Denmark",5,5,0,4,"Switzerland",6,4,2,7,"Germany",9,6,3,4,"Belgium",6,2,4,9,"Senegal",2,7,-5,4,"Sweden",7,5,2,7,"Brazil",6,3,3,6,"Poland",3,5,-2,9,"England",6,2,4,6
"10","France",7,4,3,7,"Croatia",6,3,3,7,"Russia",7,2,5,7,"Portugal",6,2,4,6,"Spain",5,2,3,7,"Uruguay",8,5,3,5,"Argentina",5,2,3,7,"Denmark",10,5,5,7,"Brazil",6,2,4,9,"Sweden",8,7,1,5,"England",7,4,3,9,"Senegal",4,4,0,4,"Germany",8,4,4,7,"Costa Rica",6,6,0,6,"Poland",6,4,2,9,"Belgium",5,4,1,6
"11","Peru",7,3,4,7,"Croatia",5,2,3,7,"Uruguay",8,4,4,7,"Iran",3,3,0,4,"Portugal",7,1,6,9,"Egypt",5,3,2,5,"Argentina",6,3,3,7,"France",5,2,3,6,"Brazil",10,6,4,9,"Mexico",7,4,3,6,"England",5,3,2,7,"Poland",8,3,5,6,"Germany",7,2,5,9,"Switzerland",4,6,-2,3,"Colombia",6,3,3,9,"Belgium",5,3,2,6
"12","Peru",9,5,4,7,"Argentina",8,3,5,6,"Russia",10,2,8,7,"Spain",7,4,3,5,"Portugal",8,3,5,7,"Uruguay",6,6,0,6,"Croatia",5,2,3,7,"Denmark",7,6,1,5,"Switzerland",9,5,4,9,"Mexico",6,5,1,4,"Belgium",8,3,5,9,"Senegal",3,5,-2,3,"Germany",9,1,8,9,"Brazil",6,4,2,6,"Poland",5,6,-1,9,"England",5,4,1,6
