Pos,Team,Participate,Pld,W,D,L,GS,GC,GD,Avg_GS,Avg_GC,Avg_D,Pts,Avg_Pts,Pot2018,Best finish
1,Brazil,20,104,70,17,17,221,102,119,2.13,0.99,1.15,227,2.18,1,Winner (5 times)
2,Germany,18,106,66,20,20,224,121,103,2.12,1.15,0.98,218,2.06,1,Winner (4 times)
3,Italy,18,83,45,21,17,128,77,51,1.55,0.93,0.62,156,1.88,0,Winner (4 times)
4,Argentina,16,77,42,14,21,131,84,47,1.71,1.1,0.62,140,1.82,1,Winner (2 times)
5,Spain,14,59,29,12,18,92,66,26,1.56,1.12,0.45,99,1.68,2,Winner (1 time)
6,England,14,62,26,20,16,79,56,23,1.28,0.91,0.38,98,1.58,2,Winner (1 time)
7,France,14,59,28,12,19,106,71,35,1.8,1.21,0.6,96,1.63,1,Winner (1 time)
8,Netherlands,10,50,27,12,11,86,48,38,1.72,0.96,0.76,93,1.86,0,Runner-up
9,Uruguay,12,51,20,12,19,80,71,9,1.57,1.4,0.18,72,1.41,2,Winner (2 times)
10,Sweden,11,46,16,13,17,74,69,5,1.61,1.5,0.11,61,1.33,3,Runner-up
11,Russia,10,40,17,8,15,66,47,19,1.65,1.18,0.48,59,1.48,2,Fourth place
12,Serbia,11,43,17,8,18,64,59,5,1.49,1.38,0.12,59,1.37,4,Fourth place
13,Mexico,15,53,14,14,25,57,92,-35,1.08,1.74,-0.67,56,1.06,2,Quarter-finals
14,Belgium,12,41,14,9,18,52,66,-14,1.27,1.61,-0.35,51,1.24,1,Fourth place
15,Poland,7,31,15,5,11,44,40,4,1.42,1.3,0.13,50,1.61,1,Third place
16,Hungary,9,32,15,3,14,87,57,30,2.72,1.79,0.94,48,1.5,0,Runner-up
17,Portugal,6,26,13,4,9,43,29,14,1.66,1.12,0.54,43,1.65,1,Third place
18,Czech Republic,9,33,12,5,16,47,49,-2,1.43,1.49,-0.07,41,1.24,0,Runner-up
19,Austria,7,29,12,4,13,43,47,-4,1.49,1.63,-0.14,40,1.38,0,Third place
20,Chile,9,33,11,7,15,40,49,-9,1.22,1.49,-0.28,40,1.21,0,Third place
21,Switzerland,10,33,11,6,16,45,59,-14,1.37,1.79,-0.43,39,1.18,2,Quarter-finals
22,Paraguay,8,27,7,10,10,30,38,-8,1.12,1.41,-0.3,31,1.15,0,Quarter-finals
23,United States,10,33,8,6,19,37,62,-25,1.13,1.88,-0.76,30,0.91,0,Third place
24,Romania,7,21,8,5,8,30,32,-2,1.43,1.53,-0.1,29,1.38,0,Quarter-finals
25,Denmark,4,16,8,2,6,27,24,3,1.69,1.5,0.19,26,1.63,3,Quarter-finals
26,South Korea,9,31,5,9,17,31,67,-36,1,2.17,-1.17,24,0.77,4,Fourth place
27,Croatia,4,16,7,2,7,21,17,4,1.32,1.07,0.25,23,1.44,2,Third place
28,Colombia,5,18,7,2,9,26,27,-1,1.45,1.5,-0.06,23,1.28,2,Quarter-finals
29,Costa Rica,4,15,5,4,6,17,23,-6,1.14,1.54,-0.4,19,1.27,3,Quarter-finals
30,Scotland,8,23,4,7,12,25,41,-16,1.09,1.79,-0.7,19,0.83,0,First round
31,Cameroon,7,23,4,7,12,18,43,-25,0.79,1.87,-1.09,19,0.83,0,Quarter-finals
32,Nigeria,5,18,5,3,10,20,26,-6,1.12,1.45,-0.34,18,1,4,Second round
33,Bulgaria,7,26,3,8,15,22,53,-31,0.85,2.04,-1.2,17,0.65,0,Fourth place
34,Turkey,2,10,5,1,4,20,17,3,2,1.7,0.3,16,1.6,0,Third place
35,Japan,5,17,4,4,9,14,22,-8,0.83,1.3,-0.48,16,0.94,4,Second round
36,Ghana,3,12,4,3,5,13,16,-3,1.09,1.34,-0.25,15,1.25,0,Quarter-finals
37,Peru,4,15,4,3,8,19,31,-12,1.27,2.07,-0.8,15,1,2,Quarter-finals
38,Republic of Ireland,3,13,2,8,3,10,10,0,0.77,0.77,0,14,1.08,0,Quarter-finals
39,Northern Ireland,3,13,3,5,5,13,23,-10,1,1.77,-0.77,14,1.08,0,Quarter-finals
40,Ecuador,3,10,4,1,5,10,11,-1,1,1.1,-0.1,13,1.3,0,Second round
41,Algeria,4,13,3,3,7,13,19,-6,1,1.47,-0.47,12,0.92,0,Second round
42,Ivory Coast,3,9,3,1,5,13,14,-1,1.45,1.56,-0.12,10,1.11,0,First round
43,South Africa,3,9,2,4,3,11,16,-5,1.23,1.78,-0.56,10,1.11,0,First round
44,Morocco,4,13,2,4,7,12,18,-6,0.93,1.39,-0.47,10,0.77,4,Second round
45,Norway,3,8,2,3,3,7,8,-1,0.88,1,-0.13,9,1.13,0,Second round
46,Australia,4,13,2,3,8,11,26,-15,0.85,2,-1.16,9,0.69,4,Second round
47,Senegal,1,5,2,2,1,7,6,1,1.4,1.2,0.2,8,1.6,3,Quarter-finals
48,East Germany,1,6,2,2,2,5,5,0,0.84,0.84,0,8,1.33,0,Quarter-finals
49,Greece,3,10,2,2,6,5,20,-15,0.5,2,-1.5,8,0.8,0,Second round
50,Saudi Arabia,4,13,2,2,9,9,32,-23,0.7,2.47,-1.77,8,0.62,4,Second round
51,Ukraine,1,5,2,1,2,5,7,-2,1,1.4,-0.4,7,1.4,0,Quarter-finals
52,Tunisia,4,12,1,4,7,8,17,-9,0.67,1.42,-0.75,7,0.58,3,First round
53,Wales,1,5,1,3,1,4,4,0,0.8,0.8,0,6,1.2,0,Quarter-finals
54,Iran,4,12,1,3,8,7,22,-15,0.59,1.84,-1.25,6,0.5,3,First round
55,Cuba,1,3,1,1,1,5,12,-7,1.67,4,-2.34,4,1.33,0,Quarter-finals
56,Slovakia,1,4,1,1,2,5,7,-2,1.25,1.75,-0.5,4,1,0,Second round
57,Slovenia,2,6,1,1,4,5,10,-5,0.84,1.67,-0.84,4,0.67,0,First round
58,North Korea,2,7,1,1,5,6,21,-15,0.86,3,-2.15,4,0.57,0,Quarter-finals
59,Bosnia and Herzegovina,1,3,1,0,2,4,4,0,1.34,1.34,0,3,1,0,First round
60,Jamaica,1,3,1,0,2,3,9,-6,1,3,-2,3,1,0,First round
61,New Zealand,2,6,0,3,3,4,14,-10,0.67,2.34,-1.67,3,0.5,0,First round
62,Honduras,3,9,0,3,6,3,14,-11,0.34,1.56,-1.23,3,0.33,0,First round
63,Angola,1,3,0,2,1,1,2,-1,0.34,0.67,-0.34,2,0.67,0,First round
64,Israel,1,3,0,2,1,1,3,-2,0.34,1,-0.67,2,0.67,0,First round
65,Egypt,2,4,0,2,2,3,6,-3,0.75,1.5,-0.75,2,0.5,3,First round
66,Kuwait,1,3,0,1,2,2,6,-4,0.67,2,-1.34,1,0.33,0,First round
67,Trinidad and Tobago,1,3,0,1,2,0,4,-4,0,1.34,-1.34,1,0.33,0,First round
68,Bolivia,3,6,0,1,5,1,20,-19,0.17,3.34,-3.17,1,0.17,0,First round
69,Iraq,1,3,0,0,3,1,4,-3,0.34,1.34,-1,0,0,0,First round
70,Togo,1,3,0,0,3,1,6,-5,0.34,2,-1.67,0,0,0,First round
71,Canada,1,3,0,0,3,0,5,-5,0,1.67,-1.67,0,0,0,First round
72,Indonesia,1,1,0,0,1,0,6,-6,0,6,-6,0,0,0,First round
73,United Arab Emirates,1,3,0,0,3,2,11,-9,0.67,3.67,-3,0,0,0,First round
74,China PR,1,3,0,0,3,0,9,-9,0,3,-3,0,0,0,First round
75,Haiti,1,3,0,0,3,2,14,-12,0.67,4.67,-4,0,0,0,First round
76,DR Congo,1,3,0,0,3,0,14,-14,0,4.67,-4.67,0,0,0,First round
77,El Salvador,2,6,0,0,6,1,22,-21,0.17,3.67,-3.5,0,0,0,First round
78,Iceland,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3,NA
79,Panama,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4,NA
